cruise,event_code,datetime_utc,date,year,month,day_of_year,latitude,longitude,obs_quality,visibility_mi,precipitation,cloud_pct,wind_dir_deg,wind_speed_kt,beaufort,swell_ft,is_sighting,is_cetacean,is_large_whale,species_code,species_common,species_scientific,species_group,count_best,count_min,count_max,calf_count,behavior_primary,cue,is_on_effort,is_on_transect,ship_heading_deg,sighting_bearing_deg,comments
CalCOFI0504NH,B,2005-04-27 13:25:00,2005-04-27,2005,4,117,34.33467,-120.75533,G,10.0,OV,90.0,,,1.0,1.0,True,True,False,LO,Pacific White-sided Dolphin,Lagenorhynchus obliquidens,dolphin,96.0,,,,2,,True,True,245.0,273.0,"Travelling with Lag's, original school size for LO=16, LB=80--combined 2005NOV22-ABD "
CalCOFI0901NH,B,2009-01-16 15:23:00,2009-01-16,2009,1,16,31.73483,-122.91817,,,,,,,,,True,True,False,DSP,Delphinus sp.,Delphinus sp.,dolphin,13.0,11.0,16.0,0.0,1,1,True,True,,281.0,"SLOW TRAVEL NEAR VESSEL, BUT MOVED OFF. DORSAL FINS JUST BREAKING THE SURFACE-SHARKING."
CalCOFI1008NH,B,2010-08-05 14:20:00,2010-08-05,2010,8,217,33.01267,-118.81667,G,1.0,OV,100.0,,,4.0,5.0,True,True,False,UD,Unidentified Dolphin,,dolphin,1.0,,,0.0,,2,True,True,56.0,120.0,
CalCOFI1008NH,B,2010-08-14 13:33:00,2010-08-14,2010,8,226,32.90581,-123.96072,G,1.0,OV,100.0,,,2.0,5.0,True,True,True,ULW,Unidentified Large Whale,,large_whale,1.0,,,0.0,,1,True,False,325.0,290.0,
CalCOFI1301SH,B,2013-01-21 15:20:00,2013-01-21,2013,1,21,33.41683,-121.08367,G,6.0,HZ,6.0,324.0,7.0,3.0,2.0,True,True,True,MN,Humpback Whale,Megaptera novaeangliae,large_whale,5.0,5.0,6.0,,1,2,True,True,60.0,0.0,BEGIN DAY. 2 OBSERVERS. NO ARRAY. IN TRANSIT TO 83/60. HEADING EAST.
CalCOFI1304SH,B,2013-04-06 22:44:00,2013-04-06,2013,4,96,32.69867,-117.2315,G,6.0,CL,5.0,186.0,7.0,2.0,2.0,True,True,False,TT,Bottlenose Dolphin,Tursiops truncatus,dolphin,5.0,4.0,6.0,0.0,,1,True,False,185.0,170.0,"begin cruise, leave port San Diego, going to SCCOOSE station 93/26.4.  Off transect line."
CalCOFI1402SH,B,2014-01-31 15:12:00,2014-01-31,2014,1,31,30.79533,-121.728,G,6.0,OV,90.0,340.0,9.0,3.0,4.0,True,True,False,DD,Common Dolphin,Delphinus delphis,dolphin,79.0,62.0,90.0,,2,2,True,True,240.0,190.0,Begin day.  Array deployed.  Leaving station 93/90.  Going to station 93/100.  
CalCOFI1404OS,B,2014-04-09 14:06:00,2014-04-09,2014,4,99,32.7855,-120.7685,F,6.0,OV,100.0,315.0,13.0,4.0,4.0,True,True,False,DD,Common Dolphin,Delphinus delphis,dolphin,60.0,50.0,70.0,0.0,5,3,True,True,240.0,240.0,"Begin day.  No array.  Leaving station 87/60, going to station 87/70."
CalCOFI1404OS,B,2014-04-13 15:20:00,2014-04-13,2014,4,103,34.4365,-120.562,G,6.0,OV,100.0,300.0,10.0,3.0,3.0,True,True,True,MN,Humpback Whale,Megaptera novaeangliae,large_whale,1.0,1.0,1.0,0.0,1,2,True,True,230.0,220.0,"Begin day.  No array.  Leaving station 80/51, going to station 80/55.  "
CalCOFI1501NH,B,2015-01-30 14:54:00,2015-01-30,2015,1,30,35.35867,-121.04117,F,5.0,HF,60.0,260.0,9.0,3.0,6.0,True,True,False,DC,Long-beaked Common Dolphin,Delphinus capensis,dolphin,45.0,40.0,58.0,0.0,"2, 8, 5",3,True,False,325.0,0.0,begin day. Going to station 73 50 from station 77 49. Non-standard coastal transect. array deployed
CalCOFI1507OC,B,2015-07-13 13:19:00,2015-07-13,2015,7,194,30.58183,-123.67583,G,7.0,CL,10.0,340.0,7.0,2.0,2.0,True,True,False,UD,Unidentified Dolphin,,dolphin,17.0,13.0,21.0,,2,3,True,True,52.0,75.0,"Begin day.  Array deployed.  In transit from station 90/120, going east to station 90/110."
CalCOFI1507OC,B,2015-07-19 15:10:00,2015-07-19,2015,7,200,34.28817,-120.0305,E,6.0,HZ,15.0,260.0,7.0,1.0,1.0,True,True,False,DD,Common Dolphin,Delphinus delphis,dolphin,270.0,240.0,300.0,6.0,1,3,True,False,294.0,270.0,"begin day.  Leaving station 82/47, going to SCCOOS 80/50.5.  Array deployed."
CalCOFI1507OC,B,2015-07-22 13:15:00,2015-07-22,2015,7,203,34.2595,-120.73867,G,7.0,OV,100.0,30.0,8.0,3.0,2.0,True,True,True,ULW,Unidentified Large Whale,,large_whale,1.0,1.0,4.0,0.0,1,2,True,False,140.0,175.0,Begin day.  Array deployed.  Transiting south to station 83/51.  Off-transect.
CalCOFI1511OC,B,2015-11-08 15:05:00,2015-11-08,2015,11,312,35.10959,-120.80486,F,6.0,CL,20.0,107.0,10.0,3.0,4.0,True,True,True,MN,Humpback Whale,Megaptera novaeangliae,large_whale,1.0,1.0,1.0,0.0,1,2,True,False,160.0,120.0,"Begin day. Two buoys deployed at 77/49. Leaving 77/49, going to 83/51. Off-transect, non-standard coastal."
CalCOFI1304SH,C,2013-04-23 22:04:00,2013-04-23,2013,4,113,35.20917,-121.15417,G,7.0,HZ,15.0,240.0,5.0,2.0,3.0,True,True,True,ULW,Unidentified Large Whale,,large_whale,1.0,1.0,1.0,0.0,0,2,True,False,285.0,260.0,"oringally mis-numbered original sighting number on data sheet, so had to rename to next available sighting number."
CalCOFI1304SH,C,2013-04-23 22:07:00,2013-04-23,2013,4,113,35.21167,-121.16717,G,7.0,HZ,15.0,240.0,5.0,2.0,3.0,True,True,True,MN,Humpback Whale,Megaptera novaeangliae,large_whale,2.0,2.0,3.0,0.0,1,2,True,False,280.0,210.0,"oringally mis-numbered original sighting number on data sheet, so had to rename to next available sighting number."
CalCOFI1304SH,C,2013-04-23 22:18:00,2013-04-23,2013,4,113,35.21883,-121.2055,G,7.0,HZ,15.0,240.0,5.0,2.0,3.0,True,True,True,ULW,Unidentified Large Whale,,large_whale,1.0,1.0,1.0,0.0,1,2,True,False,285.0,305.0,"oringally mis-numbered original sighting number on data sheet, so had to rename to next available sighting number."
CalCOFI1501NH,C,2015-02-07 15:52:00,2015-02-07,2015,2,38,33.126,-118.2415,G,7.0,CL,0.0,160.0,4.0,2.0,2.0,True,True,False,GG,Risso's Dolphin,Grampus griseus,dolphin,2.0,2.0,2.0,0.0,1,3,True,False,120.0,200.0,observers back outside
CalCOFI1504NH,C,2015-04-09 22:20:00,2015-04-09,2015,4,99,32.46367,-119.84083,P,6.0,CL,5.0,310.0,16.0,5.0,5.0,True,True,False,DD,Common Dolphin,Delphinus delphis,dolphin,9.0,8.0,13.0,0.0,2,1,True,True,61.0,80.0,started seeing Vellelas
CalCOFI1507OC,C,2015-07-17 00:50:00,2015-07-17,2015,7,198,33.34729,-119.44286,G,7.0,CL,15.0,280.0,12.0,3.0,3.0,True,True,False,TT,Bottlenose Dolphin,Tursiops truncatus,dolphin,70.0,65.0,85.0,9.0,,3,True,False,320.0,320.0,observed for 15 minutes.  Note change in course to get to station 87.50 after coming around San Nicolas Island.
CalCOFI1507OC,C,2015-07-17 01:51:00,2015-07-17,2015,7,198,33.32485,-119.65262,G,7.0,PC,30.0,280.0,11.0,3.0,3.0,True,True,True,ULW,Unidentified Large Whale,,large_whale,1.0,1.0,1.0,0.0,1,2,True,False,260.0,290.0,most likely Bp.  Note another change in course.
CalCOFI1301SH,E,2013-01-16 01:18:00,2013-01-16,2013,1,16,31.94233,-120.9265,G,7.0,CL,0.0,6.0,12.0,3.0,5.0,True,True,False,DD,Common Dolphin,Delphinus delphis,dolphin,13.0,11.0,14.0,0.0,1,1,True,True,62.0,114.0,END DAY AT SUNSET WHILE IN TRANSIT TO 90/70.
CalCOFI1304SH,E,2013-04-27 01:13:00,2013-04-27,2013,4,117,36.41383,-122.85917,P,7.0,OV,100.0,320.0,20.0,5.0,5.0,True,True,True,ULW,Unidentified Large Whale,,large_whale,1.0,1.0,1.0,0.0,1,2,True,True,58.0,75.0,End of day.  Line 67.
CalCOFI1504NH,E,2015-04-15 00:11:00,2015-04-15,2015,4,105,34.1725,-119.505,P,5.0,HZ,10.0,310.0,12.0,4.0,5.0,True,True,True,ZACA,Cuvier's Beaked Whale,Ziphius cavirostris,large_whale,134.0,134.0,134.0,0.0,,,True,True,350.0,,"cumulative ZACA count near shore within 50 miles, arrived at station 83 42, 2 bouys deployed"
CalCOFI1108NH,ET,2011-07-28 15:35:00,2011-07-28,2011,7,209,32.34667,-118.55383,,,,,,,,,True,True,True,ZACA,Cuvier's Beaked Whale,Ziphius cavirostris,large_whale,1.0,1.0,1.0,0.0,,,True,True,,,"Station 93/45, array retrieved and sonobuoys deployed."
