cruise,event_code,date,latitude,longitude,swell_ft,count_best,obs_quality,datetime_utc
CalCOFI0701JD,B,2007-01-31,36.62667,-121.86,,2.0,G,2007-01-31
CalCOFI0707NH,B,2007-07-13,35.023,-120.92,,1.0,E,2007-07-13
CalCOFI0803JD,B,2008-04-05,33.7473,-120.4075,,2.0,P,2008-04-05
CalCOFI0907M2,B,2009-07-16,32.00190353,-119.2667999,,1.0,G,2009-07-16
CalCOFI1001NH,B,2010-01-23,33.15324,-120.0175,,2.0,UX,2010-01-23
CalCOFI1008NH,B,2010-08-08,32.97987,-120.3759,4.0,3.0,G,2010-08-08
CalCOFI1008NH,B,2010-08-14,32.90581,-123.96072,5.0,1.0,G,2010-08-14
CalCOFI1301SH,B,2013-01-21,33.41683,-121.08367,2.0,5.0,G,2013-01-21
CalCOFI1304SH,B,2013-04-29,36.83683,-123.68883,11.0,1.0,UX,2013-04-29
CalCOFI1404OS,B,2014-04-13,34.4365,-120.562,3.0,1.0,G,2014-04-13
CalCOFI1507OC,B,2015-07-22,34.2595,-120.73867,2.0,1.0,G,2015-07-22
CalCOFI1511OC,B,2015-11-08,35.10959,-120.80486,4.0,1.0,F,2015-11-08
CalCOFI0911NH,C,2009-11-17,33.42203,-121.08387,6.0,1.0,F,2009-11-17
CalCOFI1101NH,C,2011-01-20,33.5155,-119.2643,,7.0,G,2011-01-20
CC1207OS,C,2012-07-26,35.0255,-120.91067,4.0,2.0,G,2012-07-26
CalCOFI1304SH,C,2013-04-09,33.48933,-117.77867,4.0,1.0,F,2013-04-09
CalCOFI1304SH,C,2013-04-16,34.276,-120.01233,5.0,1.0,UX,2013-04-16
CalCOFI1304SH,C,2013-04-23,35.20917,-121.15417,3.0,1.0,G,2013-04-23
CalCOFI1304SH,C,2013-04-23,35.21167,-121.16717,3.0,2.0,G,2013-04-23
CalCOFI1304SH,C,2013-04-23,35.21883,-121.2055,3.0,1.0,G,2013-04-23
CalCOFI1507OC,C,2015-07-17,33.32485,-119.65262,3.0,1.0,G,2015-07-17
CalCOFI0907M2,E,2009-07-21,33.37504578,-117.9944839,,6.0,G,2009-07-21
CalCOFI0907M2,E,2009-07-27,34.39403915,-119.7738953,,5.0,P,2009-07-27
CalCOFI1001NH,E,2010-02-03,35.62132,-124.5408,,2.0,G,2010-02-03
CalCOFI1011NH,E,2010-11-03,32.36702,-120.06185,,36.0,G,2010-11-03
CalCOFI1108NH,E,2011-08-13,34.21667,-120.13567,,5.0,G,2011-08-13
CalCOFI1202NH,E,2012-02-04,33.77633,-118.7,,1.0,G,2012-02-04
CC1207OS,E,2012-07-12,31.51617,-120.24217,6.0,2.0,P,2012-07-12
CC1207OS,E,2012-07-16,32.91467,-118.94367,4.0,5.0,G,2012-07-16
CC1207OS,E,2012-07-26,35.02233,-120.91633,4.0,25.0,G,2012-07-26
CC1207OS,E,2012-07-27,33.60717,-118.44083,3.0,6.0,G,2012-07-27
CalCOFI1210NH,E,2012-11-05,32.71167,-117.3265,2.0,5.0,G,2012-11-05
CalCOFI1301SH,E,2013-01-19,32.9925,-120.35217,1.0,6.0,E,2013-01-19
CalCOFI1304SH,E,2013-04-24,35.32717,-122.063,3.0,18.0,F,2013-04-24
CalCOFI1304SH,E,2013-04-27,36.41383,-122.85917,5.0,1.0,P,2013-04-27
CalCOFI1307NH,E,2013-07-07,32.99483333,-117.4095,1.0,17.0,G,2013-07-07
CalCOFI1307NH,E,2013-07-15,33.29566667,-121.3641667,7.0,1.0,UX,2013-07-15
CalCOFI1307NH,E,2013-07-16,34.39583333,-119.7813333,3.0,22.0,F,2013-07-16
